NO,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,変更内容,column_8,SubNo,チェック項目（2023）,version,sheet,source_url
137,ITエンジニアリング,プログラミング,SQL,★★,N：Nの結合や完全外部結合の危険性（計算量の増大、結果の不完全性）、暗黙の型変換の危険性（インデックス不使用、小数点以下の切り捨てなど）を考慮したSQLを記述できる,,,28,N：Nの結合や完全外部結合の危険性（計算量の増大、結果の不完全性）、暗黙の型変換の危険性（インデックス不使用、小数点以下の切り捨てなど）を考慮したSQLを記述できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
138,ITエンジニアリング,プログラミング,SQL,★★★,記述したSQLの実行計画の確認と判断ができ、SQLの修正やインデックス作成により、処理時間を大幅に改善するようなパフォーマンスチューニングができる,,,29,記述したSQLの実行計画の確認と判断ができ、SQLの修正やインデックス作成により、処理時間を大幅に改善するようなパフォーマンスチューニングができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
139,ITエンジニアリング,ITセキュリティ,基礎知識,★,セキュリティの3要素（機密性、完全性、可用性） について具体的な事例を用いて説明できる,,,1,セキュリティの3要素（機密性、完全性、可用性） について具体的な事例を用いて説明できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
140,ITエンジニアリング,ITセキュリティ,プライバシー,★★,ハッシュ化、マスキング、k-匿名化、差分プライバシーなどのプライバシー保護の仕組みを理解し適用できる,,,2,ハッシュ化、マスキング、k-匿名化、差分プライバシーなどのプライバシー保護の仕組みを理解し適用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
141,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★,（削除）基盤へ移行,削除,,3,マルウェアなどによる深刻なリスクの種類（消失・漏洩・サービスの停止など）を理解している,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
142,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★,OS、ネットワーク、アプリケーション、データなどの各レイヤーに対して、ユーザーごとのアクセスレベルを設定する必要性を理解している,,,4,OS、ネットワーク、アプリケーション、データなどの各レイヤーに対して、ユーザーごとのアクセスレベルを設定する必要性を理解している,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
143,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★★,DoS攻撃、不正アクセス、マルウェア感染、内部不正などのセキュリティインシデント発生時に、既定の手順に従い影響範囲の特定、ログ調査、システム隔離、初期対応、関係者へのエスカレーションなどを的確に実施できる。,変更,,5,DoS攻撃、不正アクセス、マルウェア感染や内部不正などのセキュリティインシデントが発覚した場合に既存のルールに基づき対応できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
144,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★★,OS、ネットワーク、アプリケーション、データに対するユーザーごとのアクセスレベルを設計でき、設定できる,変更,,6,OS、ネットワーク、アプリケーション、データに対するユーザーごとのアクセスレベルを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
145,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★★,SQLインジェクションやバッファオーバーフロー攻撃の概要を理解し、防止する対策を判断し、対策できる,変更,,7,SQLインジェクションやバッファオーバーフロー攻撃の概要を理解し、防止する対策を判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★★,プライバシー保護要件とデータアクセス権限管理の両立を考慮したセキュリティ設計・運用ができる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
146,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★★★,なりすまし、改ざん、盗聴などのセキュリティ侵害を防御するための対策とセキュリティポリシーを設計し実践できる,,,8,なりすまし、改ざん、盗聴などのセキュリティ侵害を防御するための対策とセキュリティポリシーを設計し実践できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
147,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★★★,侵入検知システム（IDS）やファイアウォール、エンドポイント対策（EPP/EDR）などを用いて、外部からの不正アクセスを検知、防御、内部侵入後の対策をおこなう環境を設計できる,,,9,侵入検知システム（IDS）やファイアウォール、エンドポイント対策（EPP/EDR）などを用いて、外部からの不正アクセスを検知、防御、内部侵入後の対策をおこなう環境を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
148,ITエンジニアリング,ITセキュリティ,攻撃と防御手法,★★★,不正メールの検出、不正通信トラフィックの自動遮断、ログからの不正検知などAIを活用したサイバー攻撃などに対する防御ソリューションの有用性と誤検出等のリスクを評価し導入を判断できる,,,10,不正メールの検出、不正通信トラフィックの自動遮断、ログからの不正検知などAIを活用したサイバー攻撃などに対する防御ソリューションの有用性と誤検出等のリスクを評価し導入を判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
149,ITエンジニアリング,ITセキュリティ,暗号化技術,★,暗号化されていないデータは、不正取得された際に容易に不正利用される恐れがあることを理解し、データの機密度合いに応じてソフトウェアを使用した暗号化と復号ができる,,,11,暗号化されていないデータは、不正取得された際に容易に不正利用される恐れがあることを理解し、データの機密度合いに応じてソフトウェアを使用した暗号化と復号ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
150,ITエンジニアリング,ITセキュリティ,暗号化技術,★,なりすましや改ざんされた文書でないことを証明するために、電子署名が用いられることを理解している,,,12,なりすましや改ざんされた文書でないことを証明するために、電子署名が用いられることを理解している,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
151,ITエンジニアリング,ITセキュリティ,暗号化技術,★,公開鍵暗号化方式において、受信者の公開鍵で暗号化されたデータを復号化するためには受信者の秘密鍵が必要であることを知っている,,,13,公開鍵暗号化方式において、受信者の公開鍵で暗号化されたデータを復号化するためには受信者の秘密鍵が必要であることを知っている,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
152,ITエンジニアリング,ITセキュリティ,暗号化技術,★,ハッシュ関数を用いて、データの改ざんを検出できる,,,14,ハッシュ関数を用いて、データの改ざんを検出できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
153,ITエンジニアリング,ITセキュリティ,暗号化技術,★★,SSHやSSL/TLSなどのセキュアプロトコルの概要と必要性を説明できる,,,15,SSHやSSL/TLSなどのセキュアプロトコルの概要と必要性を説明できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
154,ITエンジニアリング,ITセキュリティ,認証,★,OAuthに対応したデータ提供サービスに対して、認可サーバから取得したアクセストークンを付与してデータ取得用のREST APIを呼び出すことができる,,,16,OAuthに対応したデータ提供サービスに対して、認可サーバから取得したアクセストークンを付与してデータ取得用のREST APIを呼び出すことができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
155,ITエンジニアリング,ITセキュリティ,認証,★★,Kerberos認証とRadius認証の違いを理解し、それぞれの認証の特徴やユースケースを説明できる,,,17,Kerberos認証とRadius認証の違いを理解し、それぞれの認証の特徴やユースケースを説明できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
156,ITエンジニアリング,ITセキュリティ,認証,★★,SAMLやOpenID Connectを用いて一度のログインで複数のWebアプリケーションのログイン認証を連携するシングルサインオンの仕組みを設計できる,,,18,SAMLやOpenID Connectを用いて一度のログインで複数のWebアプリケーションのログイン認証を連携するシングルサインオンの仕組みを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
157,ITエンジニアリング,ITセキュリティ,ブロックチェーン,★★★,ブロックチェーン技術を用いてストレージに蓄積されたデータの安全性と品質を保証するシステムを設計できる,,,19,ブロックチェーン技術を用いてストレージに蓄積されたデータの安全性と品質を保証するシステムを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
158,ITエンジニアリング,ITセキュリティ,ゼロトラスト,★★,ゼロトラストの概念を理解し、クラウド利用やリモートワークに対応した情報セキュリティの担保と、データ活用の利便性を両立させる環境をサービスを利用して実装できる,,,20,ゼロトラストの概念を理解し、クラウド利用やリモートワークに対応した情報セキュリティの担保と、データ活用の利便性を両立させる環境をサービスを利用して実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
159,AIエンジニアリング,AIシステム運用,AutoML,★,AutoMLを用いて予測対象を判定するために最適な入力データの組み合わせと予測モデルを抽出できる,,,1,AutoMLを用いて予測対象を判定するために最適な入力データの組み合わせと予測モデルを抽出できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
160,AIエンジニアリング,AIシステム運用,MLOps,★,Gitなどのバージョン管理ソフトウェアを活用して、開発した分析プログラムのソースをリポジトリに登録しチームメンバーと共有できる,変更,,2,GitやSubversionなどのバージョン管理ソフトウェアを活用して、開発した分析プログラムのソースをリポジトリに登録しチームメンバーと共有できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,AIエンジニアリング,AIシステム運用,MLOps,★★,機械学習モデルやデータのバージョン管理ツールを活用し、モデル開発業務の効率化だけでなく、品質保証やチームでの共有、デプロイの自動化ができる（Hugging Face Hub、ML Flowなど）,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
161,AIエンジニアリング,AIシステム運用,MLOps,★,MLOpsの概要を理解し、AIモデル性能の維持管理作業の基本的な流れを説明できる,,,3,MLOpsの概要を理解し、AIモデル性能の維持管理作業の基本的な流れを説明できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
162,AIエンジニアリング,AIシステム運用,MLOps,★,AIシステムのモニタリング項目を理解し、AIモデルの劣化状況や予測対象データの不備、AIシステムの異常を検知できる,,,4,AIシステムのモニタリング項目を理解し、AIモデルの劣化状況や予測対象データの不備、AIシステムの異常を検知できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
163,AIエンジニアリング,AIシステム運用,MLOps,★★,AIシステムの予測モデル評価において、求められている予測性能を満たしているかを評価し、業務システムへの適用を判断できる,,,5,AIシステムの予測モデル評価において、求められている予測性能を満たしているかを評価し、業務システムへの適用を判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
164,AIエンジニアリング,AIシステム運用,MLOps,★★,AIモデルの管理方針（更新頻度、バージョン管理、リリース手順など）を決定し、適切にAIモデルを運用できる,,,6,AIモデルの管理方針（更新頻度、バージョン管理、リリース手順など）を決定し、適切にAIモデルを運用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
165,AIエンジニアリング,AIシステム運用,MLOps,★★,フィーチャーストア機能を用いて、機械学習で使用する特徴量データを仕様情報やバージョンと共に管理し、機械学習運用時の特徴量の一貫性の確保や効率的な運用に活用できる,,,7,フィーチャーストア機能を用いて、機械学習で使用する特徴量データを仕様情報やバージョンと共に管理し、機械学習運用時の特徴量の一貫性の確保や効率的な運用に活用できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
166,AIエンジニアリング,AIシステム運用,MLOps,★★★,AIシステム運用において、モデル作成からモデルの評価、デプロイ、学習データの更新、モデル再学習のパイプラインを設計し、AIモデルのライフサイクルを自動化できる,,,8,AIシステム運用において、モデル作成からモデルの評価、デプロイ、学習データの更新、モデル再学習のパイプラインを設計し、AIモデルのライフサイクルを自動化できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
167,AIエンジニアリング,AIシステム運用,MLOps,★★★,AIシステムに求められる要件（予測性能、リアルタイム性、コストなど）を考慮し、適切な学習環境および分析環境（サーバ/エッジなど）を設計できる,,,9,AIシステムに求められる要件（予測性能、リアルタイム性、コストなど）を考慮し、適切な学習環境および分析環境（サーバ/エッジなど）を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
168,AIエンジニアリング,AIシステム運用,AIOps,★,ITシステムの運用におけるAIOpsの概要とメリットを説明できる,,,10,ITシステムの運用におけるAIOpsの概要とメリットを説明できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
169,AIエンジニアリング,AIシステム運用,AIOps,★★,ITシステムのアプリケーションログと過去の障害実績より、統計的手法や機械学習を用いて大量のログから障害の予兆を検出し障害を未然に防止するシステムを設計することができる,,,11,ITシステムのアプリケーションログと過去の障害実績より、統計的手法や機械学習を用いて大量のログから障害の予兆を検出し障害を未然に防止するシステムを設計することができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
170,AIエンジニアリング,生成AI,生成AI活用,★,（削除）170と171を新スキルに集約し、基盤へ移行,削除,,1,生成AIを活用する際、出力したい要件に合わせ、Few-shot PromptingやChain-of-Thoughtなどのプロンプト技法の利用や、各種APIパラメーター（Temperatureなど）の設定ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
171,AIエンジニアリング,生成AI,生成AI活用,★,（削除）170と171を新スキルに集約し、基盤へ移行,削除,,2,画像生成AIに組み込まれた標準機能の利用（モデル選択）や、画像生成プロンプトルール（強調やネガティブプロンプトなど）を理解し、適切に入力することで、意図した画像を生成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
172,AIエンジニアリング,生成AI,生成AI活用,★★,生成AIで出力したい結果を生成するために、RAG環境を設計・実装できる,変更,,3,独自に用意したプロンプト入力用のデータベースやファイルを用いて、プロンプトに追加することで、意図した文章を生成することができる。,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
173,AIエンジニアリング,生成AI,生成AI活用,★★,マルチモーダルな生成AIを用いて、データ分析や業務で活用できるシステムの設計・実装できる,変更,,4,画像生成AIに組み込まれた標準機能の利用（モデル選択）や、画像生成プロンプトルール（強調やネガティブプロンプトなど）を組み合わせ、入力を試行錯誤することで、より意図に即した画像を生成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
174,AIエンジニアリング,生成AI,コーディング支援,★,LLMを利用して、データ分析やサービス、システム開発のためのコードを作成、修正、改良できる,,,5,LLMを利用して、データ分析やサービス、システム開発のためのコードを作成、修正、改良できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
175,AIエンジニアリング,生成AI,コーディング支援,★,LLMを利用して、開発した機能のテストや分析検証用のダミーデータを生成できる,,,6,LLMを利用して、開発した機能のテストや分析検証用のダミーデータを生成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,AIエンジニアリング,生成AI,コーディング支援,★★,生成AIの機能や特性を理解したうえで活用し、既存システムの機能や要件を維持しつつ、効率的かつ高品質なプログラムのリプレイスやリファクタリングができる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
176,AIエンジニアリング,生成AI,ファインチューニング,★★,ファインチューニングの目的や要件に対して、ファインチューニング用のデータ収集、必要に応じたデータベース化を行い、ファインチューニングを実施・評価できる（ベクトルDB、LlamaIndex、LangChain、モデレーションなど）,,,7,ファインチューニングの目的や要件に対して、ファインチューニング用のデータ収集、必要に応じたデータベース化を行い、ファインチューニングを実施・評価できる（ベクトルDB、LlamaIndex、LangChain、モデレーションなど）,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
177,AIエンジニアリング,生成AI,ファインチューニング,★★,要件に応じて、拡散モデルのファインチューニングや RAG（Retrieval-Augmented Generation）基盤の構築・実装ができる,変更,,8,拡散モデルの利用要件を踏まえ、LoRAやControlNetなどを用いて、ファインチューニングできる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
178,AIエンジニアリング,生成AI,ファインチューニング,★★★,LLMの活用目的やビジネス目標に応じて、モデル選定、事前学習・ファインチューニング・RAGの活用方針を策定し、データ収集、データベース設計、評価指標の設計まで一貫して対応できる,変更,,9,LLMの利用目的や目指すビジネス上の効果、LLMの利用範囲などを踏まえ、最適なモデルの選択、ファインチューニングの必要性や方向性の提示、データ収集方針やデータベースの設計、評価指標の検討ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
179,AIエンジニアリング,生成AI,生成AIの技術活用,★★,（削除）流れを重視し、融合に移行のため,削除,,10,生成AIが提供するAPIやプラグインなどの機能を用いてシステム連携することで、自社の新機能やサービスを設計・実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
180,AIエンジニアリング,生成AI,生成AIの技術活用,★★★,（削除）流れを重視し、融合に移行のため,削除,,11,生成AIの性能や実現要件を踏まえ、自社サービスとして組み込み、新たなサービスやロボットなどを設計・実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
181,AIエンジニアリング,生成AI,生成AI開発,★★★,独自に新たな生成AIを開発する必要性や目的を整理した上で、新たな生成AIに必要なデータ収集、データベース開発、生成AIの設計・開発・評価ができる,,,12,独自に新たな生成AIを開発する必要性や目的を整理した上で、新たな生成AIに必要なデータ収集、データベース開発、生成AIの設計・開発・評価ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
182,AIエンジニアリング,生成AI,生成AI開発,★★★,独自に新たな生成AIの開発基盤の必要性や目的を整理した上で、生成AI開発環境（開発基盤）の設計・開発・実装ができる,,,13,独自に新たな生成AIの開発基盤の必要性や目的を整理した上で、生成AI開発環境（開発基盤）の設計・開発・実装ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
